number,name,status
3101,– Advanced String Formatting,
3100,– Miscellaneous Python 3.0 Plans,
3003,– Python Language Moratorium,
3103,– A Switch/Case Statement,
3000,– Python 3000,
3001,– Procedure for reviewing and improving standard library modules,
3099,– Things that will Not Change in Python 3000,
3002,– Procedure for Backwards-Incompatible Changes,
801,– Reserved,
754,– IEEE 754 Floating Point Special Values,
721,– Using tarfile.data_filter for source distribution extraction,
715,– Disabling bdist_egg distribution uploads on PyPI,
719,– Python 3.13 Release Schedule,
714,– Rename dist-info-metadata in the Simple API,
711,– PyBI: a standard format for distributing Python Binaries,
712,– Adding a “converter” parameter to dataclasses.field,
713,– Callable Modules,
708,– Extending the Repository API to Mitigate Dependency Confusion Attacks,
709,– Inlined comprehensions,
710,– Recording the provenance of installed packages,
704,– Require virtual environments by default for package installers,
705,– TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
706,– Filter for tarfile.extractall,
707,– A simplified signature for __exit__ and __aexit__,
699,– Remove private dict version field added in PEP 509,
703,– Making the Global Interpreter Lock Optional in CPython,
701,– Syntactic formalization of f-strings,
700,– Additional Fields for the Simple API for Package Indexes,
702,– Marking deprecations using the type system,
698,– Override Decorator for Static Typing,
696,– Type defaults for TypeVarLikes,
697,– Limited C API for Extending Opaque Types,
695,– Type Parameter Syntax,
692,– Using TypedDict for more precise **kwargs typing,
694,– Upload 2.0 API for Python Package Repositories,
693,– Python 3.12 Release Schedule,
686,– Make UTF-8 mode default,
689,– Unstable C API tier,
691,– JSON-based Simple API for Python Package Indexes,
688,– Making the buffer protocol accessible in Python,
690,– Lazy Imports,
687,– Isolating modules in the standard library,
684,– A Per-Interpreter GIL,
685,– Comparison of extra names for optional distribution dependencies,
681,– Data Class Transforms,
682,– Format Specifier for Signed Zero,
683,"– Immortal Objects, Using a Fixed Refcount",
680,– tomllib: Support for Parsing TOML in the Standard Library,
679,– Allow parentheses in assert statements,
676,– PEP Infrastructure Process,
678,– Enriching Exceptions with Notes,
677,– Callable Type Syntax,
673,– Self Type,
671,– Syntax for late-bound function argument defaults,
672,– Unicode-related Security Considerations for Python,
674,– Disallow using macros as l-values,
670,– Convert macros to functions in the Python C API,
675,– Arbitrary Literal String Type,
668,– Marking Python base environments as “externally managed”,
665,– A file format to list Python dependencies for reproducibility of an application,
666,– Reject Foolish Indentation,
667,– Consistent views of namespaces,
669,– Low Impact Monitoring for CPython,
664,– Python 3.11 Release Schedule,
663,"– Standardizing Enum str(), repr(), and format() behaviors",
659,– Specializing Adaptive Interpreter,
661,– Sentinel Values,
662,– Editable installs via virtual wheels,
660,– Editable installs for pyproject.toml based builds (wheel based),
658,– Serve Distribution Metadata in the Simple Repository API,
653,– Precise Semantics for Pattern Matching,
654,– Exception Groups and except*,
655,– Marking individual TypedDict items as required or potentially-missing,
657,– Include Fine Grained Error Locations in Tracebacks,
656,– Platform Tag for Linux Distributions Using Musl,
652,– Maintaining the Stable ABI,
650,– Specifying Installer Requirements for Python Projects,
651,– Robust Stack Overflow Handling,
649,– Deferred Evaluation Of Annotations Using Descriptors,
648,– Extensible customizations of the interpreter at startup,
647,– User-Defined Type Guards,
645,– Allow writing optional types as ,
644,– Require OpenSSL 1.1.1 or newer,
643,– Metadata for Package Source Distributions,
646,– Variadic Generics,
639,– Improving License Clarity with Better Package Metadata,
640,– Unused variable syntax,
637,– Support for indexing with keyword arguments,
641,– Using an underscore in the version portion of Python 3.10 compatibility tags,
638,– Syntactic Macros,
642,– Explicit Pattern Syntax for Structural Pattern Matching,
636,– Structural Pattern Matching: Tutorial,
634,– Structural Pattern Matching: Specification,
635,– Structural Pattern Matching: Motivation and Rationale,
633,– Dependency specification in pyproject.toml using an exploded TOML table,
632,– Deprecate distutils module,
631,– Dependency specification in pyproject.toml based on PEP 508,
629,– Versioning PyPI’s Simple API,
628,– Add ,
630,– Isolating Extension Modules,
627,– Recording installed projects,
623,– Remove wstr from Unicode,
624,– Remove Py_UNICODE encoder APIs,
621,– Storing project metadata in pyproject.toml,
626,– Precise line numbers for debugging and other tools.,
622,– Structural Pattern Matching,
619,– Python 3.10 Release Schedule,
625,– Filename of a Source Distribution,
620,– Hide implementation details from the C API,
618,– Add Optional Length-Checking To zip,
617,– New PEG parser for CPython,
616,– String methods to remove prefixes and suffixes,
615,– Support for the IANA Time Zone Database in the Standard Library,
613,– Explicit Type Aliases,
614,– Relaxing Grammar Restrictions On Decorators,
611,– The one million limit,
609,– Python Packaging Authority (PyPA) Governance,
607,– Reducing CPython’s Feature Delivery Latency,
606,– Python Compatibility Version,
608,– Coordinated Python release,
612,– Parameter Specification Variables,
605,– A rolling feature release stream for CPython,
600,– Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
602,– Annual Release Cycle for Python,
603,– Adding a frozenmap type to collections,
601,– Forbid return/break/continue breaking out of finally,
604,– Allow writing union types as ,
599,– The manylinux2014 Platform Tag,
610,– Recording the Direct URL Origin of installed distributions,
598,– Introducing incremental feature releases,
596,– Python 3.9 Release Schedule,
595,– Improving bugs.python.org,
597,– Add optional EncodingWarning,
593,– Flexible function and variable annotations,
590,– Vectorcall: a fast calling protocol for CPython,
594,– Removing dead batteries from the standard library,
591,– Adding a final qualifier to typing,
592,– Adding “Yank” Support to the Simple API,
589,– TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
588,– GitHub Issues Migration Plan,
585,– Type Hinting Generics In Standard Collections,
587,– Python Initialization Configuration,
586,– Literal Types,
582,– Python local packages directory,
584,– Add Union Operators To dict,
580,– The C call protocol,
581,– Using GitHub Issues for CPython,
583,– A Concurrency Memory Model for Python,
574,– Pickle protocol 5 with out-of-band data,
577,– Augmented Assignment Expressions,
576,– Rationalize Built-in function classes,
578,– Python Runtime Audit Hooks,
579,– Refactoring C functions and methods,
575,– Unifying function/method classes,
573,– Module State Access from C Extension Methods,
572,– Assignment Expressions,
571,– The manylinux2010 Platform Tag,
570,– Python Positional-Only Parameters,
569,– Python 3.8 Release Schedule,
568,– Generator-sensitivity for Context Variables,
567,– Context Variables,
565,– Show DeprecationWarning in __main__,
564,– Add new time functions with nanosecond resolution,
566,– Metadata for Python Software Packages 2.1,
562,– Module __getattr__ and __dir__,
559,– Built-in noop(),
561,– Distributing and Packaging Type Information,
560,– Core support for typing module and generic types,
563,– Postponed Evaluation of Annotations,
558,– Defined semantics for locals(),
555,– Context-local variables (contextvars),
556,– Threaded garbage collection,
557,– Data Classes,
554,– Multiple Interpreters in the Stdlib,
552,– Deterministic pycs,
553,– Built-in breakpoint(),
550,– Execution Context,
551,– Security transparency in the Python runtime,
549,– Instance Descriptors,
548,– More Flexible Loop Control,
545,– Python Documentation Translations,
543,– A Unified TLS API for Python,
546,– Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
544,– Protocols: Structural subtyping (static duck typing),
547,– Running extension modules using the -m option,
542,– Dot Notation Assignment In Function Header,
540,– Add a new UTF-8 Mode,
539,– A New C-API for Thread-Local Storage in CPython,
541,– Package Index Name Retention,
538,– Coercing the legacy C locale to a UTF-8 based locale,
536,– Final Grammar for Literal String Interpolation,
537,– Python 3.7 Release Schedule,
535,– Rich comparison chaining,
533,– Deterministic cleanup for iterators,
534,– Improved Errors for Missing Standard Library Modules,
532,– A circuit breaking protocol and binary operators,
530,– Asynchronous Comprehensions,
526,– Syntax for Variable Annotations,
529,– Change Windows filesystem encoding to UTF-8,
527,– Removing Un(der)used file types/extensions on PyPI,
531,– Existence checking operators,
528,– Change Windows console encoding to UTF-8,
524,– Make os.urandom() blocking on Linux,
523,– Adding a frame evaluation API to CPython,
525,– Asynchronous Generators,
522,– Allow BlockingIOError in security sensitive APIs,
521,– Managing global context via ‘with’ blocks in generators and coroutines,
520,– Preserving Class Attribute Definition Order,
517,– A build-system independent format for source trees,
516,– Build system abstraction for pip/conda etc,
518,– Specifying Minimum Build System Requirements for Python Projects,
514,– Python registration in the Windows registry,
510,– Specialize functions with guards,
512,– Migrating from hg.python.org to GitHub,
515,– Underscores in Numeric Literals,
511,– API for code transformers,
519,– Adding a file system path protocol,
513,– A Platform Tag for Portable Linux Built Distributions,
509,– Add a private version to dict,
507,– Migrate CPython to Git and GitLab,
508,– Dependency specification for Python Software Packages,
506,– Adding A Secrets Module To The Standard Library,
505,– None-aware operators,
504,– Using the System RNG by default,
502,– String Interpolation - Extended Discussion,
500,– A protocol for delegating datetime methods to their tzinfo implementations,
501,– General purpose string interpolation,
503,– Simple Repository API,
499,– ,
498,– Literal String Interpolation,
495,– Local Time Disambiguation,
496,– Environment Markers,
494,– Python 3.6 Release Schedule,
497,– A standard mechanism for backward compatibility,
489,– Multi-phase extension module initialization,
493,– HTTPS verification migration tools for Python 2.7,
491,– The Wheel Binary Package Format 1.9,
492,– Coroutines with async and await syntax,
490,– Chain exceptions at C level,
488,– Elimination of PYO files,
487,– Simpler customisation of class creation,
483,– The Theory of Type Hints,
482,– Literature Overview for Type Hints,
486,– Make the Python Launcher aware of virtual environments,
481,"– Migrate CPython to Git, Github, and Phabricator",
480,– Surviving a Compromise of PyPI: End-to-end signing of packages,
485,– A Function for testing approximate equality,
484,– Type Hints,
478,– Python 3.5 Release Schedule,
475,– Retry system calls failing with EINTR,
476,– Enabling certificate verification by default for stdlib http clients,
477,– Backport ensurepip (PEP 453) to Python 2.7,
479,– Change StopIteration handling inside generators,
474,– Creating forge.python.org,
473,– Adding structured data to built-in exceptions,
472,– Support for indexing with keyword arguments,
470,– Removing External Hosting Support on PyPI,
471,– os.scandir() function – a better and faster directory iterator,
469,– Migration of dict iteration code to Python 3,
464,– Removal of the PyPI Mirror Authenticity API,
468,– Preserving the order of **kwargs in a function.,
463,– Exception-catching expressions,
467,– Minor API improvements for binary sequences,
465,– A dedicated infix operator for matrix multiplication,
466,– Network Security Enhancements for Python 2.7.x,
461,– Adding % formatting to bytes and bytearray,
460,– Add binary interpolation and formatting,
459,– Standard Metadata Extensions for Python Software Packages,
462,– Core development workflow automation for CPython,
458,– Secure PyPI downloads with signed repository metadata,
454,– Add a new tracemalloc module to trace Python memory allocations,
457,– Notation For Positional-Only Parameters,
455,– Adding a key-transforming dictionary to collections,
456,– Secure and interchangeable hash algorithm,
449,– Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
452,– API for Cryptographic Hash Functions v2.0,
450,– Adding A Statistics Module To The Standard Library,
453,– Explicit bootstrapping of pip in Python installations,
448,– Additional Unpacking Generalizations,
447,– Add __getdescriptor__ method to metaclass,
451,– A ModuleSpec Type for the Import System,
446,– Make newly created file descriptors non-inheritable,
445,– Add new APIs to customize Python memory allocators,
443,– Single-dispatch generic functions,
442,– Safe object finalization,
444,– Python Web3 Interface,
441,– Improving Python ZIP Application Support,
440,– Version Identification and Dependency Specification,
439,– Inclusion of implicit pip bootstrap in Python installation,
437,"– A DSL for specifying signatures, annotations and argument converters",
438,– Transitioning to release-file hosting on PyPI,
436,– The Argument Clinic DSL,
433,– Easier suppression of file descriptor inheritance,
432,– Restructuring the CPython startup sequence,
435,– Adding an Enum type to the Python standard library,
430,– Migrating to Python 3 as the default online documentation,
431,– Time zone support improvements,
434,– IDLE Enhancement Exception for All Branches,
429,– Python 3.4 Release Schedule,
427,– The Wheel Binary Package Format 1.0,
428,– The pathlib module – object-oriented filesystem paths,
426,– Metadata for Python Software Packages 2.0,
425,– Compatibility Tags for Built Distributions,
424,– A method for exposing a length hint,
423,– Naming conventions and recipes related to packaging,
421,– Adding sys.implementation,
420,– Implicit Namespace Packages,
422,– Simpler customisation of class creation,
419,– Protecting cleanup statements from interruptions,
415,– Implement context suppression with exception attributes,
417,– Including mock in the Standard Library,
416,– Add a frozendict builtin type,
418,"– Add monotonic time, performance counter, and process time functions",
414,– Explicit Unicode Literal for Python 3.3,
411,– Provisional packages in the Python standard library,
412,– Key-Sharing Dictionary,
413,– Faster evolution of the Python Standard Library,
410,– Use decimal.Decimal type for timestamps,
409,– Suppressing exception context,
408,– Standard library __preview__ package,
407,– New release cycle and introducing long-term support versions,
404,– Python 2.8 Un-release Schedule,
403,– General purpose decorator clause (aka “@in” clause),
405,– Python Virtual Environments,
402,– Simplified Package Layout and Partitioning,
406,– Improved Encapsulation of Import State,
398,– Python 3.3 Release Schedule,
401,– BDFL Retirement,
400,– Deprecate codecs.StreamReader and codecs.StreamWriter,
399,– Pure Python/C Accelerator Module Compatibility Requirements,
397,– Python launcher for Windows,
396,– Module Version Numbers,
394,– The “python” Command on Unix-Like Systems,
395,– Qualified Names for Modules,
392,– Python 3.2 Release Schedule,
393,– Flexible String Representation,
391,– Dictionary-Based Configuration For Logging,
385,– Migrating from Subversion to Mercurial,
387,– Backwards Compatibility Policy,
389,– argparse - New Command Line Parsing Module,
390,– Static metadata for Distutils,
386,– Changing the version comparison module in Distutils,
384,– Defining a Stable ABI,
383,– Non-decodable Bytes in System Character Interfaces,
382,– Namespace Packages,
379,– Adding an Assignment Expression,
381,– Mirroring infrastructure for PyPI,
380,– Syntax for Delegating to a Subgenerator,
378,– Format Specifier for Thousands Separator,
376,– Database of Installed Python Distributions,
377,– Allow __enter__() methods to skip the statement body,
375,– Python 3.1 Release Schedule,
371,– Addition of the multiprocessing package to the standard library,
372,– Adding an ordered dictionary to collections,
373,– Python 2.7 Release Schedule,
370,– Per user site-packages directory,
374,– Choosing a distributed VCS for the Python project,
369,– Post import hooks,
367,– New Super,
366,– Main module explicit relative imports,
364,– Transitioning to the Py3K Standard Library,
365,– Adding the pkg_resources module,
368,– Standard image protocol and class,
363,– Syntax For Dynamic Attribute Access,
362,– Function Signature Object,
360,– Externally Maintained Packages,
361,– Python 2.6 and 3.0 Release Schedule,
359,– The “make” Statement,
354,– Enumerations in Python,
355,– Path - Object oriented filesystem paths,
357,– Allowing Any Object to be Used for Slicing,
351,– The freeze protocol,
353,– Using ssize_t as the index type,
358,– The “bytes” Object,
356,– Python 2.5 Release Schedule,
352,– Required Superclass for Exceptions,
349,– Allow str() to return unicode strings,
350,– Codetags,
348,– Exception Reorganization for Python 3.0,
347,– Migrating the Python CVS to Subversion,
346,– User Defined (”,
343,– The “with” Statement,
342,– Coroutines via Enhanced Generators,
344,– Exception Chaining and Embedded Tracebacks,
345,– Metadata for Python Software Packages 1.2,
341,– Unifying try-except and try-finally,
336,– Make None Callable,
338,– Executing modules as scripts,
339,– Design of the CPython Compiler,
337,– Logging Usage in the Standard Library,
340,– Anonymous Block Statements,
335,– Overloadable Boolean Operators,
334,– Simple Coroutines via SuspendIteration,
332,– Byte vectors and String/Unicode Unification,
333,– Python Web Server Gateway Interface v1.0,
331,– Locale-Independent Float/String Conversions,
330,– Python Bytecode Verification,
329,– Treating Builtins as Constants in the Standard Library,
328,– Imports: Multi-Line and Absolute/Relative,
327,– Decimal Data Type,
326,– A Case for Top and Bottom Values,
325,– Resource-Release Support for Generators,
324,– subprocess - New process module,
320,– Python 2.4 Release Schedule,
322,– Reverse Iteration,
319,– Python Synchronize/Asynchronize Block,
323,– Copyable Iterators,
321,– Date/Time Parsing and Formatting,
318,– Decorators for Functions and Methods,
315,– Enhanced While Loop,
317,– Eliminate Implicit Exception Instantiation,
316,– Programming by Contract for Python,
314,– Metadata for Python Software Packages 1.1,
311,– Simplified Global Interpreter Lock Acquisition for Extensions,
312,– Simple Implicit Lambda,
313,– Adding Roman Numeral Literals to Python,
310,– Reliable Acquisition/Release Pairs,
309,– Partial Function Application,
305,– CSV File API,
308,– Conditional Expressions,
304,– Controlling Generation of Bytecode Files,
307,– Extensions to the pickle protocol,
306,– How to Change Python’s Grammar,
303,– Extend divmod() for Multiple Divisors,
302,– New Import Hooks,
301,– Package Index and Metadata for Distutils,Either “success” or “fail”.
297,– Support for System Upgrades,
299,– Special __main__() function in modules,
298,– The Locked Buffer Interface,
295,– Interpretation of multiline string constants,
294,– Type Names in the types Module,
292,– Simpler String Substitutions,
296,– Adding a bytes Object Type,
293,– Codec Error Handling Callbacks,
291,– Backward Compatibility for the Python 2 Standard Library,
287,– reStructuredText Docstring Format,
286,– Enhanced Argument Tuples,
290,– Code Migration and Modernization,
288,– Generators Attributes and Exceptions,
289,– Generator Expressions,
285,– Adding a bool type,
284,– Integer for-loops,
283,– Python 2.3 Release Schedule,
282,– A Logging System,
281,– Loop Counter Iteration with range and xrange,
280,– Optimizing access to globals,
277,– Unicode file name support for Windows NT,
278,– Universal Newline Support,
276,– Simple Iterator for ints,
274,– Dict Comprehensions,
275,– Switching on Multiple Values,
279,– The enumerate() built-in function,
270,– uniq method for list objects,
271,– Prefixing sys.path by command line option,
268,– Extended HTTP functionality and WebDAV,
273,– Import Modules from Zip Archives,
269,– Pgen Module for Python,
272,– API for Block Encryption Algorithms v1.0,
266,– Optimizing Global Variable/Attribute Access,
267,– Optimized Access to Module Namespaces,
264,– Future statements in simulated shells,
265,– Sorting Dictionaries by Value,
259,– Omit printing newline after newline,
262,– A Database of Installed Python Packages,
263,– Defining Python Source Code Encodings,
260,– Simplify xrange(),
261,– Support for “wide” Unicode characters,
258,– Docutils Design Specification,
257,– Docstring Conventions,
254,– Making Classes Look More Like Types,
256,– Docstring Processing System Framework,
255,– Simple Generators,
252,– Making Types Look More Like Classes,
253,– Subtyping Built-in Types,
251,– Python 2.2 Release Schedule,
250,– Using site-packages on Windows,
248,– Python Database API Specification v1.0,
249,– Python Database API Specification v2.0,
244,– The ,
245,– Python Interface Syntax,
247,– API for Cryptographic Hash Functions,
243,– Module Repository Upload Mechanism,
242,– Numeric Kinds,
241,– Metadata for Python Software Packages,
236,– Back to the __future__,
235,– Import on Case-Insensitive Platforms,
246,– Object Adaptation,
237,– Unifying Long Integers and Integers,
239,– Adding a Rational Type to Python,
238,– Changing the Division Operator,
240,– Adding a Rational Literal to Python,
234,– Iterators,
233,– Python Online Help,
232,– Function Attributes,
226,– Python 2.1 Release Schedule,
230,– Warning Framework,
227,– Statically Nested Scopes,
229,– Using Distutils to Build Python,
231,– __findattr__(),
228,– Reworking Python’s Numeric Model,
224,– Attribute Docstrings,
222,– Web Library Enhancements,
220,"– Coroutines, Generators, Continuations",
221,– Import As,
219,– Stackless Python,
225,– Elementwise/Objectwise Operators,
223,– Change the Meaning of ,
218,– Adding a Built-In Set Object Type,
217,– Display Hook for Interactive Use,
216,– Docstring Format,
210,– Decoupling the Interpreter Loop,
213,– Attribute Access Handlers,
214,– Extended Print Statement,
215,– String Interpolation,
211,– Adding A New Outer Product Operator,
212,– Loop Counter Iteration,
206,– Python Advanced Library,
208,– Reworking the Coercion Model,
207,– Rich Comparisons,
204,– Range Literals,
203,– Augmented Assignments,
209,– Multi-dimensional Arrays,
205,– Weak References,
202,– List Comprehensions,
200,– Python 2.0 Release Schedule,
201,– Lockstep Iteration,
103,– Collecting information about git,
160,– Python 1.6 Release Schedule,
102,– Doing Python Micro Releases,
101,– Doing Python Releases 101,
